MJD	band	Flux	Flux_err	FilterSet	Instr
59197.241	ZTF_r	1.6203009125932902e-16	2.5071518488813162e-17	GeneralFilters	P48
59199.227	ZTF_r	1.7044947841691163e-16	8.477447647206032e-18	GeneralFilters	P48
59199.279	ZTF_g	1.3104301028284133e-16	1.4604103809687432e-17	GeneralFilters	P48
59200.178	ZTF_g	1.3434263460121595e-16	1.5714235667544312e-17	GeneralFilters	P48
59200.241	ZTF_r	1.8399061734726644e-16	5.761695117462377e-18	GeneralFilters	P48
59202.233	ZTF_g	1.1061495857231148e-16	1.905158652937265e-17	GeneralFilters	P48
59202.278	ZTF_r	1.602491286030102e-16	8.412909406853959e-18	GeneralFilters	P48
59203.222	ZTF_r	1.514940850756372e-16	7.255622857016224e-18	GeneralFilters	P48
59203.309	ZTF_g	1.4474842970971669e-16	1.3065186598168493e-17	GeneralFilters	P48
59204.285	ZTF_r	1.693540849438928e-16	7.019139445730189e-18	GeneralFilters	P48
59204.304	ZTF_g	1.2537584152198338e-16	1.3164197593180692e-17	GeneralFilters	P48
59205.152	ZTF_r	1.7060654050681854e-16	5.8139739386866224e-18	GeneralFilters	P48
59205.263	ZTF_g	1.1765594083489187e-16	1.267871976393102e-17	GeneralFilters	P48
59210.22	ZTF_g	1.4474842970971669e-16	3.2662966495421234e-17	GeneralFilters	P48
59210.302	ZTF_r	1.8914535333534153e-16	1.1672023662774492e-17	GeneralFilters	P48
59211.161	ZTF_r	1.905441749230516e-16	1.1407348595101359e-17	GeneralFilters	P48
59211.221	ZTF_g	2.1213574864283397e-16	3.419224287612843e-17	GeneralFilters	P48
59216.175	ZTF_g	1.959809511192141e-16	2.671475874022751e-17	GeneralFilters	P48
59216.238	ZTF_r	1.8966870396318186e-16	8.559875274921216e-18	GeneralFilters	P48
59216.277	ZTF_r	1.9498251891867636e-16	8.260934682800958e-18	GeneralFilters	P48
59216.333	ZTF_g	1.8976401521775321e-16	3.093590371799825e-17	GeneralFilters	P48
59218.186	ZTF_r	1.6626302453569847e-16	7.962963045689657e-18	GeneralFilters	P48
59218.225	ZTF_g	1.7037813538365388e-16	1.0356988084252204e-17	GeneralFilters	P48
59218.226	ZTF_g	1.7612210238123798e-16	1.1841654922702447e-17	GeneralFilters	P48
59218.354	ZTF_r	1.8247176656406457e-16	7.730884560321764e-18	GeneralFilters	P48
59220.201	ZTF_g	1.7660941867652422e-16	1.008512372522732e-17	GeneralFilters	P48
59220.202	ZTF_g	1.839136065587644e-16	1.3043083248918272e-17	GeneralFilters	P48
59220.219	ZTF_r	1.923072584661898e-16	6.0221320420157035e-18	GeneralFilters	P48
59220.238	ZTF_r	1.6749262020832474e-16	7.71332020956404e-18	GeneralFilters	P48
59222.173	ZTF_g	1.6542984431007526e-16	2.940673785393124e-17	GeneralFilters	P48
59222.176	ZTF_g	1.2422638889779406e-16	2.5743764810928746e-17	GeneralFilters	P48
59222.198	ZTF_r	1.8113220608513376e-16	5.839012446298564e-18	GeneralFilters	P48
59222.198	ZTF_r	1.8620685997112014e-16	5.659594247772049e-18	GeneralFilters	P48
59224.195	ZTF_g	1.4210647312288745e-16	1.361202945983791e-17	GeneralFilters	P48
59224.195	ZTF_g	1.6226089271604308e-16	1.509422831485223e-17	GeneralFilters	P48
59224.25	ZTF_r	1.7250261245563463e-16	6.831873435817421e-18	GeneralFilters	P48
59224.25	ZTF_r	1.7458047733788993e-16	6.592577036194556e-18	GeneralFilters	P48
59226.158	ZTF_r	1.495531884677296e-16	1.1019486156016723e-17	GeneralFilters	P48
59226.212	ZTF_g	1.5339593856057525e-16	1.3704439416469952e-17	GeneralFilters	P48
59226.213	ZTF_g	1.4608777043959947e-16	1.3589732708311507e-17	GeneralFilters	P48
59226.242	ZTF_r	1.5052050842680251e-16	7.624898135655669e-18	GeneralFilters	P48
59228.141	ZTF_r	1.877568007670591e-16	1.5217875571517814e-17	GeneralFilters	P48
59228.202	ZTF_g	1.5115198712542632e-16	1.0858857744740762e-17	GeneralFilters	P48
59228.202	ZTF_g	1.4990422070484489e-16	1.0907284277510944e-17	GeneralFilters	P48
