MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err
59095.63000000048	1.4315036901190678e-16	9.109188923082364e-18	1.535139475696487e-16	5.2762300745191704e-18	nan	nan	nan	nan	nan	nan
59095.68000000048	1.4387329213971868e-16	9.144057065798834e-18	1.5441490780608632e-16	5.303196827526825e-18	nan	nan	nan	nan	nan	nan
59095.73000000048	1.445965342597882e-16	9.178697738978209e-18	1.5531445331797812e-16	5.330503793291957e-18	nan	nan	nan	nan	nan	nan
59095.780000000486	1.4532010217849877e-16	9.213112947723543e-18	1.5621255937863506e-16	5.35818266852937e-18	nan	nan	nan	nan	nan	nan
59095.83000000049	1.4604400270293747e-16	9.247305231782582e-18	1.5710920125591042e-16	5.386265169531694e-18	nan	nan	nan	nan	nan	nan
59095.88000000049	1.4676824264090068e-16	9.28127764613949e-18	1.5800435421207745e-16	5.414782965957624e-18	nan	nan	nan	nan	nan	nan
59095.930000000495	1.4749282880094894e-16	9.315033741723913e-18	1.588979935037399e-16	5.443767613177526e-18	nan	nan	nan	nan	nan	nan
59095.9800000005	1.482177679924132e-16	9.348577546210129e-18	1.5979009438177842e-16	5.4732504831920345e-18	nan	nan	nan	nan	nan	nan
59096.0300000005	1.4894306702546873e-16	9.381913544886349e-18	1.6068063209119198e-16	5.503262694500621e-18	nan	nan	nan	nan	nan	nan
59096.080000000504	1.496687327111118e-16	9.41504666159066e-18	1.6156958187110146e-16	5.53383504095583e-18	nan	nan	nan	nan	nan	nan
59096.13000000051	1.5039477186124724e-16	9.447982239680414e-18	1.624569190899983e-16	5.564997735426564e-18	nan	nan	nan	nan	nan	nan
59096.18000000051	1.5112119128868282e-16	9.480726023019655e-18	1.6334262958887166e-16	5.596766248512062e-18	nan	nan	nan	nan	nan	nan
59096.23000000051	1.51847997807184e-16	9.513284136974404e-18	1.6422671696436215e-16	5.6291313616361696e-18	nan	nan	nan	nan	nan	nan
59096.280000000515	1.525751982314899e-16	9.54566306939214e-18	1.6510918652752386e-16	5.662081065736906e-18	nan	nan	nan	nan	nan	nan
59096.33000000052	1.5330279937735811e-16	9.57786965155388e-18	1.6599004358323503e-16	5.6956029588497904e-18	nan	nan	nan	nan	nan	nan
59096.38000000052	1.5403080806159463e-16	9.60991103907604e-18	1.668692934303145e-16	5.7296842968814166e-18	nan	nan	nan	nan	nan	nan
59096.430000000524	1.5475923110208332e-16	9.641794692761018e-18	1.6774694136143387e-16	5.76431204164958e-18	nan	nan	nan	nan	nan	nan
59096.48000000053	1.5548807531782105e-16	9.673528359357514e-18	1.686229926632053e-16	5.799472906176113e-18	nan	nan	nan	nan	nan	nan
59096.53000000053	1.5621734752894667e-16	9.705120052249783e-18	1.694974526161366e-16	5.8351533972482416e-18	nan	nan	nan	nan	nan	nan
59096.58000000053	1.569470545567864e-16	9.736578032040536e-18	1.7037032649476587e-16	5.871339855235288e-18	nan	nan	nan	nan	nan	nan
59096.630000000536	1.576772032238586e-16	9.76791078701552e-18	1.712416195674759e-16	5.908018491211967e-18	nan	nan	nan	nan	nan	nan
59096.68000000054	1.5840780035394327e-16	9.799127013489986e-18	1.7211133709671447e-16	5.94517542143608e-18	nan	nan	nan	nan	nan	nan
59096.73000000054	1.5913885277208211e-16	9.83023559602681e-18	1.7297948433890258e-16	5.9827966991381946e-18	nan	nan	nan	nan	nan	nan
59096.780000000545	1.598703673046343e-16	9.861245587502068e-18	1.738460665444998e-16	6.0208683438008585e-18	nan	nan	nan	nan	nan	nan
59096.83000000055	1.6060235077929245e-16	9.892166189035562e-18	1.7471108895790208e-16	6.0593763679024675e-18	nan	nan	nan	nan	nan	nan
59096.88000000055	1.6133481002512744e-16	9.923006729746617e-18	1.7557455681764388e-16	6.0983068011809445e-18	nan	nan	nan	nan	nan	nan
59096.93000000055	1.6206775187261478e-16	9.95377664636811e-18	1.7643647535626564e-16	6.137645712588368e-18	nan	nan	nan	nan	nan	nan
59096.980000000556	1.6280118315366303e-16	9.984485462679388e-18	1.7729684980041771e-16	6.177379229869599e-18	nan	nan	nan	nan	nan	nan
59097.03000000056	1.6353511070166533e-16	1.0015142768778407e-17	1.7815568537079084e-16	6.217493556941044e-18	nan	nan	nan	nan	nan	nan
59097.08000000056	1.6426954135150373e-16	1.0045758200175357e-17	1.7901298728219822e-16	6.257974989129092e-18	nan	nan	nan	nan	nan	nan
59097.130000000565	1.6500448193960717e-16	1.0076341416717062e-17	1.7986876074359134e-16	6.298809926359551e-18	nan	nan	nan	nan	nan	nan
59097.18000000057	1.6573993930396822e-16	1.0106902081335766e-17	1.8072301095805225e-16	6.339984884304759e-18	nan	nan	nan	nan	nan	nan
59097.23000000057	1.6647591891679474e-16	1.0137447968802854e-17	1.815757431227565e-16	6.3814865036930815e-18	nan	nan	nan	nan	nan	nan
59097.28000000057	1.6721241435058048e-16	1.0167970543997079e-17	1.8242696242916714e-16	6.42330155776315e-18	nan	nan	nan	nan	nan	nan
59097.33000000058	1.6794941305147765e-16	1.019845286071211e-17	1.8327667406280223e-16	6.465416958003393e-18	nan	nan	nan	nan	nan	nan
59097.38000000058	1.686869024165121e-16	1.0228877888314183e-17	1.8412488320343652e-16	6.5078197582366486e-18	nan	nan	nan	nan	nan	nan
59097.43000000058	1.6942486984412696e-16	1.0259228597201189e-17	1.8497159502504671e-16	6.550497157099494e-18	nan	nan	nan	nan	nan	nan
59097.480000000585	1.701633027341298e-16	1.0289487974220017e-17	1.8581681469585612e-16	6.593436499085154e-18	nan	nan	nan	nan	nan	nan
59097.53000000059	1.7090218848760495e-16	1.0319639037307997e-17	1.8666054749054687e-16	6.636623017516691e-18	nan	nan	nan	nan	nan	nan
59097.58000000059	1.7164151450683378e-16	1.034966484941022e-17	1.8750279912693702e-16	6.6800330692955895e-18	nan	nan	nan	nan	nan	nan
59097.630000000594	1.7238126819522642e-16	1.0379548531644404e-17	1.8834357542938278e-16	6.723640926661964e-18	nan	nan	nan	nan	nan	nan
