MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
59204.285,18.732,0.045,8.594437112081225e-17,3.5620960998515445e-18,ZTF_r,P48,GeneralFilters
59204.304,19.99,0.114,4.782198745505459e-17,5.021207311669878e-18,ZTF_g,P48,GeneralFilters
59205.152,18.724,0.037,8.657997141204867e-17,2.9504947225734623e-18,ZTF_r,P48,GeneralFilters
59205.263,20.059,0.117,4.4877393111114534e-17,4.836031967056026e-18,ZTF_g,P48,GeneralFilters
59210.22,19.834,0.245,5.52112552600749e-17,1.2458604106079082e-17,ZTF_g,P48,GeneralFilters
59210.302,18.612,0.067,9.598810945844845e-17,5.92335717049126e-18,ZTF_r,P48,GeneralFilters
59211.161,18.604,0.065,9.669798806400901e-17,5.789038991806275e-18,ZTF_r,P48,GeneralFilters
59211.221,19.419,0.175,8.091473594286855e-17,1.304191453499188e-17,ZTF_g,P48,GeneralFilters
59216.175,19.505,0.148,7.475282695677384e-17,1.018978490458199e-17,ZTF_g,P48,GeneralFilters
59216.238,18.609,0.049,9.625370116590751e-17,4.343993814022396e-18,ZTF_r,P48,GeneralFilters
59216.277,18.579,0.046,9.895037355354817e-17,4.192286453666898e-18,ZTF_r,P48,GeneralFilters
59216.333,19.54,0.177,7.238150703517306e-17,1.1799852200820427e-17,ZTF_g,P48,GeneralFilters
59218.186,18.752,0.052,8.437570956200359e-17,4.0410708218039046e-18,ZTF_r,P48,GeneralFilters
59218.225,19.657,0.066,6.49871694101774e-17,3.950456070521484e-18,ZTF_g,P48,GeneralFilters
59218.226,19.621,0.073,6.717808525461902e-17,4.516751124348532e-18,ZTF_g,P48,GeneralFilters
59218.354,18.651,0.046,9.260137557265177e-17,3.9232948645116896e-18,ZTF_r,P48,GeneralFilters
59220.201,19.618,0.062,6.736396184357684e-17,3.846759107781777e-18,ZTF_g,P48,GeneralFilters
59220.202,19.574,0.077,7.014999124950993e-17,4.975010783043356e-18,ZTF_g,P48,GeneralFilters
59220.219,18.594,0.034,9.759272353140957e-17,3.0561314852783355e-18,ZTF_r,P48,GeneralFilters
59220.238,18.744,0.05,8.499970884050783e-17,3.9143812496997514e-18,ZTF_r,P48,GeneralFilters
59222.173,19.689,0.193,6.30997474732874e-17,1.1216583926164118e-17,ZTF_g,P48,GeneralFilters
59222.176,20.0,0.225,4.738355283872922e-17,9.819419617759824e-18,ZTF_g,P48,GeneralFilters
59222.198,18.659,0.035,9.192157099056481e-17,2.963201347224559e-18,ZTF_r,P48,GeneralFilters
59222.198,18.629,0.033,9.449687312768998e-17,2.8721496064584655e-18,ZTF_r,P48,GeneralFilters
59224.195,19.854,0.104,5.4203536283129936e-17,5.19202339273682e-18,ZTF_g,P48,GeneralFilters
59224.195,19.71,0.101,6.189101729420493e-17,5.757377085999669e-18,ZTF_g,P48,GeneralFilters
59224.25,18.712,0.043,8.754219627538632e-17,3.4670617258086112e-18,ZTF_r,P48,GeneralFilters
59224.25,18.699,0.041,8.859667801781738e-17,3.3456227975189547e-18,ZTF_r,P48,GeneralFilters
59226.158,18.867,0.08,7.589574669090284e-17,5.592205278467992e-18,ZTF_r,P48,GeneralFilters
59226.212,19.771,0.097,5.850966629973857e-17,5.227271234211964e-18,ZTF_g,P48,GeneralFilters
59226.213,19.824,0.101,5.572211871514705e-17,5.1835187641031034e-18,ZTF_g,P48,GeneralFilters
59226.242,18.86,0.055,7.638664542288604e-17,3.869508523200296e-18,ZTF_r,P48,GeneralFilters
59228.141,18.62,0.088,9.528344220882903e-17,7.722817824100172e-18,ZTF_r,P48,GeneralFilters
59228.202,19.787,0.078,5.765375804756841e-17,4.141883735664996e-18,ZTF_g,P48,GeneralFilters
59228.202,19.796,0.079,5.717782369380839e-17,4.160355021795677e-18,ZTF_g,P48,GeneralFilters
59228.22,18.674,0.038,9.0660359754987e-17,3.1730485320391186e-18,ZTF_r,P48,GeneralFilters
59230.202,19.656,0.074,6.504705237807804e-17,4.433380645209366e-18,ZTF_g,P48,GeneralFilters
59230.203,19.646,0.067,6.564892534335632e-17,4.051147948027327e-18,ZTF_g,P48,GeneralFilters
59230.223,18.703,0.037,8.827087631109692e-17,3.0081178183038986e-18,ZTF_r,P48,GeneralFilters
59230.224,18.703,0.04,8.827087631109692e-17,3.252019263031242e-18,ZTF_r,P48,GeneralFilters
59232.181,18.704,0.034,8.818961325828441e-17,2.7616716082979267e-18,ZTF_r,P48,GeneralFilters
59232.181,18.7,0.033,8.851511502869096e-17,2.6903393136802596e-18,ZTF_r,P48,GeneralFilters
59232.223,19.529,0.065,7.311855855115207e-17,4.377404276468473e-18,ZTF_g,P48,GeneralFilters
59232.224,19.593,0.072,6.893307008680011e-17,4.571258676369976e-18,ZTF_g,P48,GeneralFilters
59249.138,19.267,0.173,9.307383763729599e-17,1.4830281831523873e-17,ZTF_g,P48,GeneralFilters
59249.185,18.615,0.05,9.572325059506872e-17,4.408218597462774e-18,ZTF_r,P48,GeneralFilters
59249.199,18.816,0.088,7.954583372690736e-17,6.447268993417467e-18,ZTF_r,P48,GeneralFilters
59251.135,19.611,0.069,6.779967642432974e-17,4.30876086914769e-18,ZTF_g,P48,GeneralFilters
59251.178,18.838,0.047,7.795023666266253e-17,3.374356595174328e-18,ZTF_r,P48,GeneralFilters
59251.2,18.68,0.038,9.016073388084415e-17,3.1555619794730046e-18,ZTF_r,P48,GeneralFilters
59253.157,18.735,0.037,8.57072258266987e-17,2.920753072146375e-18,ZTF_r,P48,GeneralFilters
59253.157,18.771,0.04,8.291200892917723e-17,3.0545912926481975e-18,ZTF_r,P48,GeneralFilters
59253.177,19.532,0.071,7.291680337106708e-17,4.768278902976316e-18,ZTF_g,P48,GeneralFilters
59253.178,19.654,0.069,6.51669839037015e-17,4.141449709100471e-18,ZTF_g,P48,GeneralFilters
