MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
59013.65000000929	1.9366192436746325e-16	1.1953810984021066e-17	2.664291660214814e-16	3.056733032427075e-17	2.1231228699293054e-16	7.452230146929217e-18	3.0752463707192963e-16	5.057189019152132e-18	2.9622069982209336e-16	1.5245896436369098e-17	3.37181563669601e-16	2.5368201651058696e-17
59013.700000009296	1.9362765405810709e-16	1.1359366716124355e-17	2.6573462127828484e-16	3.046463137932025e-17	2.115755646557695e-16	7.202916265781889e-18	3.076386807167794e-16	4.883662025529279e-18	2.9571168825421164e-16	1.5205884050533424e-17	3.37018053679783e-16	2.551371678418873e-17
59013.7500000093	1.9357491652259563e-16	1.0779182399544792e-17	2.6504197524339746e-16	3.0351817632978556e-17	2.1082675083377646e-16	6.96161032153353e-18	3.077416895895821e-16	4.712508560389405e-18	2.951951602051103e-16	1.5157068987185465e-17	3.3685449065757115e-16	2.5658172887238075e-17
59013.8000000093	1.935034426621864e-16	1.021841903749733e-17	2.643514440453126e-16	3.0228929115188003e-17	2.1006578460290788e-16	6.728980421910389e-18	3.0783340393094e-16	4.5454827910582616e-18	2.946713855216472e-16	1.50994303417781e-17	3.366908798265171e-16	2.5801564829948287e-17
59013.850000009304	1.9341296292753163e-16	9.683186005715897e-18	2.6366324382461726e-16	3.0096009144294493e-17	2.0929260497262822e-16	6.505737193282296e-18	3.079135639339571e-16	4.3846185999919446e-18	2.941406340053392e-16	1.503295064472258e-17	3.365272264099937e-16	2.5943887547787393e-17
59013.90000000931	1.9330320731257217e-16	9.18066343519475e-18	2.629775907357191e-16	2.995310437216943e-17	2.0850715088583785e-16	6.292631036044756e-18	3.0798190974317956e-16	4.232255987577576e-18	2.936031754138888e-16	1.4957615952565793e-17	3.3636353563106995e-16	2.608513604114651e-17
59013.95000000931	1.931739053484091e-16	8.71917101742435e-18	2.622947009483932e-16	2.9800264833971545e-17	2.0770936121840885e-16	6.090446965633275e-18	3.080381814535901e-16	4.091054811380206e-18	2.930592794627777e-16	1.4873415956136028e-17	3.361998127126183e-16	2.6225305374666474e-17
59014.00000000931	1.9302478609718786e-16	8.308120970948607e-18	2.616147906494777e-16	2.9637544002654095e-17	2.0689917477903052e-16	5.8999964187612585e-18	3.0808211910944864e-16	3.963985339426227e-18	2.925092158268076e-16	1.478034410753794e-17	3.360360628773144e-16	2.63643906765528e-17
59014.050000009316	1.928555781459366e-16	7.957769575527943e-18	2.609380760444871e-16	2.9464998848939664e-17	2.0607653030865235e-16	5.722105410338557e-18	3.081134627033623e-16	3.8542823403070594e-18	2.919532541419041e-16	1.4678397768458682e-17	3.3587229134753013e-16	2.6502387137899136e-17
59014.10000000932	1.9266600960045017e-16	7.678676353968743e-18	2.6026477335917937e-16	2.928268990671831e-17	2.0524136648035008e-16	5.557598523098774e-18	3.081319521750986e-16	3.765348938585196e-18	2.9139166400652163e-16	1.4567578382579384e-17	3.357085033455302e-16	2.663929001208631e-17
